Subject,Course Number,Section,CRN,Course Title,Credit Hours,Instructor,Campus,Attribute Type,Reserved Seats,Linked Sections,Unnamed: 11,Days,Start Time,End Time,Building,Room,Start Date,End Date,Total Enrolled,Open Enrolled,Total Waitlist,Open Waitlist
ARTM,3205,090,10248,"Interactive Art and Design
Lecture",3.0,Jeff Murphy (Primary),Main Campus or Dubois Campus,,"0 of 9 unreserved seats remain.
2 of 2 unreserved waitlist seats remain.
0 of 9 reserved seats remain.",,,"Tuesday,Thursday",05:30  PM,08:15  PM,Online (No Building Needed),INTERNET,08/19/2024,12/12/2024,18,0,2.0,2.0
ARTM,3390,001,16231,"Digital Compositing
Studio",3.0,Jeff Murphy (Primary),Main Campus or Dubois Campus,,"0 of 0 unreserved seats remain.
0 of 10 reserved seats remain.",,,"Tuesday,Thursday",11:30  AM,02:15  PM,Rowe,285,08/19/2024,12/12/2024,10,0,,
ARTD,2134,001,16229,"Figure Drawing I
Studio",3.0,Anna Kenar (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",02:30  PM,05:15  PM,Rowe,288,08/19/2024,12/12/2024,16,0,2.0,2.0
ARTD,2139,001,16230,"Drawing 2
Studio",3.0,JB Burke (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday,Friday",10:10  AM,12:05  PM,Rowe,288,08/19/2024,12/12/2024,16,1,2.0,2.0
ARTG,2180,001,17036,"Design Thinking
Lecture",3.0,Belinda Ivey (Primary),Main Campus or Dubois Campus,,"0 of 0 unreserved seats remain.
3 of 16 reserved seats remain.
2 of 2 reserved waitlist seats remain.",,,"Tuesday,Thursday",11:30  AM,12:45  PM,Macy,106A,08/19/2024,12/12/2024,16,3,2.0,2.0
ARTG,2181,001,10098,"Graphic Design I
Studio",3.0,David Brodeur (Primary),Main Campus or Dubois Campus,,"0 of 0 unreserved seats remain.
1 of 18 reserved seats remain.
2 of 2 reserved waitlist seats remain.",,,"Monday,Wednesday,Friday",12:20  PM,02:15  PM,Macy,106A,08/19/2024,12/12/2024,18,1,2.0,2.0
ARTG,2182,001,12832,"Typography I
Studio",3.0,Samira Shiridevich (Primary),Main Campus or Dubois Campus,,"0 of 0 unreserved seats remain.
-1 of 16 reserved seats remain.
2 of 2 reserved waitlist seats remain.",,,"Tuesday,Thursday",02:30  PM,05:15  PM,Macy,106A,08/19/2024,12/12/2024,16,0,2.0,2.0
ARTG,3183,001,10099,"Graphic Design II
Studio",3.0,Robert Campbell (Primary),Main Campus or Dubois Campus,,"0 of 0 unreserved seats remain.
8 of 16 reserved seats remain.
2 of 2 reserved waitlist seats remain.",,,"Tuesday,Thursday",02:30  PM,05:15  PM,Macy,106B,08/19/2024,12/12/2024,16,8,2.0,2.0
ARTG,3184,001,10100,"Typography II
Studio",3.0,Belinda Ivey (Primary),Main Campus or Dubois Campus,,"0 of 0 unreserved seats remain.
6 of 16 reserved seats remain.
2 of 2 reserved waitlist seats remain.",,,"Tuesday,Thursday",08:30  AM,11:15  AM,Macy,106B,08/19/2024,12/12/2024,16,6,2.0,2.0
ARTG,3185,090,14029,"UX/UI Design Strategies
Studio",3.0,Samira Shiridevich (Primary),Main Campus or Dubois Campus,,"0 of 0 unreserved seats remain.
9 of 16 reserved seats remain.
2 of 2 reserved waitlist seats remain.",,,"Tuesday,Thursday",05:30  PM,08:15  PM,Macy,106A,08/19/2024,12/12/2024,16,9,2.0,2.0
ARTG,3185,091,17237,"UX/UI Design Strategies
Studio",3.0,"Richard Tran
Samira Shiridevich (Primary)",Main Campus or Dubois Campus,,,,,"Monday,Wednesday",05:30  PM,08:15  PM,Macy,106A,08/19/2024,12/12/2024,16,0,,
ARTG,3186,001,12834,"Communications Design
Studio",3.0,Belinda Ivey (Primary),Main Campus or Dubois Campus,,"0 of 0 unreserved seats remain.
0 of 16 reserved seats remain.
2 of 2 reserved waitlist seats remain.",,,"Monday,Wednesday",02:30  PM,05:15  PM,Macy,106A,08/19/2024,12/12/2024,16,0,2.0,2.0
ARTG,3186,002,16778,"Communications Design
Studio",3.0,Robert Campbell (Primary),Main Campus or Dubois Campus,,"0 of 0 unreserved seats remain.
7 of 16 reserved seats remain.
2 of 2 reserved waitlist seats remain.",,,"Tuesday,Thursday",11:30  AM,02:15  PM,Macy,107,08/19/2024,12/12/2024,16,7,2.0,2.0
ARTG,3408,001,11444,"Graphic Design Internship
Internship",3.0,David Brodeur (Primary),Main Campus or Dubois Campus,,,,,,,,,,08/19/2024,12/12/2024,10,3,,
ARTG,4180,001,12835,"Print Production
Studio",3.0,David Brodeur (Primary),Main Campus or Dubois Campus,,"0 of 0 unreserved seats remain.
0 of 22 reserved seats remain.",,,"Monday,Wednesday,Friday",10:10  AM,12:15  PM,Macy,106B,08/19/2024,12/12/2024,22,0,,
ARTG,4182,001,12836,"Design Research
Studio",3.0,Christina Singer (Primary),Main Campus or Dubois Campus,,"0 of 0 unreserved seats remain.
6 of 16 reserved seats remain.
2 of 2 reserved waitlist seats remain.",,,"Tuesday,Thursday",08:30  AM,11:15  AM,Macy,107,08/19/2024,12/12/2024,16,6,2.0,2.0
ARTG,4182,002,16781,"Design Research
Studio",3.0,Christina Singer (Primary),Main Campus or Dubois Campus,,"0 of 0 unreserved seats remain.
3 of 16 reserved seats remain.
2 of 2 reserved waitlist seats remain.",,,"Tuesday,Thursday",11:30  AM,02:15  PM,Macy,106B,08/19/2024,12/12/2024,16,3,2.0,2.0
ARTG,4982,001,10106,"Graphic Design Projects
Studio",3.0,"Robert Campbell (Primary)
Christina Singer",Main Campus or Dubois Campus,,"0 of 0 unreserved seats remain.
0 of 18 reserved seats remain.",,,"Monday,Wednesday",02:30  PM,05:15  PM,Macy,106B,08/19/2024,12/12/2024,18,0,,
